Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
205.2,1.2942012979965847e-21,2.294838184233568e-21,4.46189519208159e-21,8.459236725986743e-21
205.4,1.3078409267724382e-21,2.3141585248029953e-21,4.508073408451251e-21,8.491215075788932e-21
205.6,1.3098895666676257e-21,2.3115692008091544e-21,4.520067750365449e-21,8.572124153601703e-21
205.8,1.300239394529769e-21,2.3406493010476737e-21,4.541857471509574e-21,8.647639292893623e-21
206.0,1.3170598063007818e-21,2.365048700220404e-21,4.597231350013455e-21,8.683085174602076e-21
206.2,1.3530188276189406e-21,2.387157543552429e-21,4.6340139985503276e-21,8.708513741914662e-21
206.4,1.3646098164996067e-21,2.400502521059147e-21,4.673995138264321e-21,8.773626285487798e-21
206.6,1.362884646061554e-21,2.392236602155732e-21,4.718174297648283e-21,8.927353533332064e-21
206.8,1.3699470625423318e-21,2.4519902327828267e-21,4.7497593980223366e-21,8.997089452780214e-21
207.0,1.3869831206181013e-21,2.4744974336523658e-21,4.8143289386604356e-21,9.01866520686362e-21
207.2,1.3943150949798247e-21,2.4641401376770027e-21,4.818327052631834e-21,9.121920601405633e-21
207.4,1.3997601641749283e-21,2.4805723860994538e-21,4.825123846383213e-21,9.183565613072506e-21
207.6,1.4108120372937026e-21,2.4807715648682106e-21,4.902687257428359e-21,9.128085102572322e-21
207.8,1.4150171402364559e-21,2.5003906735907734e-21,4.9232775443810656e-21,9.128470383895239e-21
208.0,1.4347487771216827e-21,2.5289728269074006e-21,4.9012879175383696e-21,9.179712799843328e-21
208.2,1.4316758172789016e-21,2.5357449050451376e-21,4.876699516614264e-21,9.284124038354094e-21
208.4,1.4140467318650513e-21,2.542317804414118e-21,4.894691029485561e-21,9.388535276864861e-21
208.6,1.4303280278741726e-21,2.570302421424474e-21,4.9080847112897486e-21,9.327275546520906e-21
208.8,1.4536717403640722e-21,2.5682110443525258e-21,4.948665568099451e-21,9.33228420371884e-21
209.0,1.4527552435688566e-21,2.5523763322363454e-21,5.001240766823351e-21,9.417046094760792e-21
209.2,1.4461780312737811e-21,2.565024184052414e-21,4.992245010387703e-21,9.424366439896233e-21
209.4,1.441649458873893e-21,2.5752818906433985e-21,5.00723793778045e-21,9.4494097258859e-21
209.6,1.4447763302928632e-21,2.586834259231304e-21,5.021431242378917e-21,9.525310146500738e-21
209.8,1.4606263336924714e-21,2.5930088010627697e-21,5.047618888891583e-21,9.53070408502159e-21
210.0,1.4741042277397577e-21,2.58573877600314e-21,5.095396350849805e-21,9.511440018875692e-21
210.2,1.4597637484734453e-21,2.5860375441562755e-21,5.12018465747248e-21,9.537639148834112e-21
210.4,1.4589550748306082e-21,2.5970919658222883e-21,5.121583997362469e-21,9.5588296215946e-21
210.6,1.479171915901537e-21,2.618304504694907e-21,5.093797105261244e-21,9.557288496302928e-21
210.8,1.489307292225096e-21,2.6260724766764287e-21,5.107990409859712e-21,9.58926684610512e-21
211.0,1.4891994690727178e-21,2.631151535279732e-21,5.1527692863393835e-21,9.676340425084578e-21
211.2,1.4900081427155548e-21,2.6530611998430003e-21,5.154368531927943e-21,9.705621805626343e-21
211.4,1.4984722601772505e-21,2.6383219709549833e-21,5.163764099760732e-21,9.692136959324216e-21
211.6,1.5039712409485431e-21,2.63921827541439e-21,5.17475891318208e-21,9.753011408345253e-21
211.8,1.491517666848851e-21,2.671086878415507e-21,5.1503704179565444e-21,9.796548197834983e-21
212.0,1.4805736168824548e-21,2.6679996074997734e-21,5.1453727754922956e-21,9.821206202501732e-21
212.2,1.504294710405678e-21,2.6782573140907582e-21,5.17435910178494e-21,9.827755984991338e-21
212.4,1.523810700986148e-21,2.69528709881948e-21,5.189152123479118e-21,9.816197545303799e-21
212.6,1.5207377411433669e-21,2.6915027022130976e-21,5.2315321315759494e-21,9.827755984991338e-21
