Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
351.7,3.8473911245043786e-23,5.498118934335181e-23,3.6427310872594004e-23,6.293846880772656e-23
351.6,3.8064614316905016e-23,5.467573829144429e-23,3.7356579007098956e-23,6.255932140527037e-23
351.5,3.8166938548939707e-23,5.345393408381425e-23,3.6799018126395985e-23,6.028443699053327e-23
351.4,3.8064614316905016e-23,5.263939794539423e-23,3.586974999189104e-23,6.009486328930517e-23
351.3,3.8269262780974404e-23,5.223212987618421e-23,3.568389636499004e-23,5.876784738070853e-23
351.2,3.8064614316905016e-23,5.16212277723692e-23,3.4382920976683116e-23,5.687211036842761e-23
351.1,3.7450668924696875e-23,5.141759373776419e-23,3.4382920976683116e-23,5.706168406965569e-23
351.0,3.612045390824589e-23,5.080669163394917e-23,3.28960919614752e-23,5.649296296597142e-23
350.9,3.550650851603775e-23,4.9992155495529137e-23,3.4011213722881135e-23,5.668253666719951e-23
350.8,3.519953581993367e-23,4.938125339171412e-23,3.382536009598015e-23,5.668253666719951e-23
350.7,3.479023889179491e-23,4.9279436374411613e-23,3.3453652842178164e-23,5.630338926474333e-23
350.6,3.4687914659760216e-23,4.8770351287899096e-23,3.3267799215277174e-23,5.535552075860287e-23
350.5,3.448326619569084e-23,4.805763216678158e-23,3.28960919614752e-23,5.44076522524624e-23
350.4,3.3255375411274546e-23,4.836308321868909e-23,3.2524384707673224e-23,5.497637335614669e-23
350.3,3.274375425110109e-23,4.775218111487406e-23,3.215267745387124e-23,5.478679965491859e-23
350.2,3.243678155499702e-23,4.744673006296656e-23,3.1223409319366286e-23,5.497637335614669e-23
350.1,3.182283616278887e-23,4.754854708026906e-23,2.9736580304158375e-23,5.421807855123432e-23
350.0,3.1618187698719495e-23,4.714127901105905e-23,2.8993165796554413e-23,5.421807855123432e-23
349.9,3.110656653854604e-23,4.6734010941849034e-23,2.8993165796554413e-23,5.308063634386577e-23
349.8,3.1208890770580724e-23,4.622492585533652e-23,2.9364873050356394e-23,5.327021004509385e-23
349.7,3.141353923465011e-23,4.5715840768824e-23,2.9736580304158375e-23,5.402850485000623e-23
